Publication,Scenario,Category,Product,Flow,Unit,Year,Value
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Total final consumption,EJ,2040,12
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Hydrogen,Total final consumption,EJ,2050,20
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic methane,Total final consumption,EJ,2019,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic methane,Total final consumption,EJ,2020,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic methane,Total final consumption,EJ,2030,0
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic methane,Total final consumption,EJ,2040,1
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Synthetic methane,Total final consumption,EJ,2050,4
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Total final consumption,EJ,2019,70
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Total final consumption,EJ,2020,67
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Total final consumption,EJ,2030,58
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Total final consumption,EJ,2040,40
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Natural gas,Total final consumption,EJ,2050,20
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Total final consumption,EJ,2019,92
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Total final consumption,EJ,2020,89
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Total final consumption,EJ,2030,61
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Total final consumption,EJ,2040,46
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid fuels,Total final consumption,EJ,2050,35
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid biomass,Total final consumption,EJ,2019,39
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid biomass,Total final consumption,EJ,2020,39
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid biomass,Total final consumption,EJ,2030,24
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid biomass,Total final consumption,EJ,2040,25
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Solid biomass,Total final consumption,EJ,2050,25
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Total final consumption,EJ,2019,53
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Total final consumption,EJ,2020,50
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Total final consumption,EJ,2030,38
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Total final consumption,EJ,2040,21
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Coal,Total final consumption,EJ,2050,10
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Total final consumption,EJ,2019,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Total final consumption,EJ,2020,13
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Total final consumption,EJ,2030,12
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Total final consumption,EJ,2040,9
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,District heat,Total final consumption,EJ,2050,6
Net Zero by 2050,Net-Zero Emissions by 2050,Energy,Other sources,Total final consumption,EJ,2019,3
